date,male_id_female,male_id_trans,male_id_none,female_id_male,female_id_trans,female_id_none,male_id_tf,female_id_tm,date_numeric
2021-07-27,0.0059,0.0259,0.0247,0.0056,0.0253,0.0384,0.0318,0.0309,0
2021-08-10,0.0091,0.0159,0.0159,0.0074,0.0239,0.0346,0.0250,0.0313,14
2021-08-24,0.0091,0.0137,0.0216,0.0094,0.0236,0.0433,0.0228,0.0331,28
2021-09-07,0.0066,0.0110,0.0309,0.0062,0.0249,0.0454,0.0176,0.0311,42
2021-09-21,0.0046,0.0160,0.0149,0.0074,0.0287,0.0407,0.0206,0.0360,56
2021-10-05,0.0039,0.0104,0.0299,0.0141,0.0292,0.0473,0.0143,0.0433,70
2021-12-07,0.0012,0.0185,0.0162,0.0059,0.0268,0.0310,0.0197,0.0327,133
2022-01-04,0.0062,0.0211,0.0249,0.0071,0.0284,0.0337,0.0274,0.0355,161
2022-02-01,0.0102,0.0152,0.0178,0.0072,0.0376,0.0385,0.0254,0.0448,189
2022-03-08,0.0049,0.0185,0.0222,0.0077,0.0306,0.0411,0.0235,0.0383,224
2022-04-05,0.0105,0.0158,0.0351,0.0118,0.0366,0.0497,0.0263,0.0484,252
2022-05-03,0.0151,0.0207,0.0358,0.0194,0.0463,0.0433,0.0358,0.0657,280
2022-06-07,0.0069,0.0276,0.0328,0.0081,0.0418,0.0567,0.0345,0.0499,315
2022-07-05,0.0076,0.0246,0.0340,0.0054,0.0402,0.0415,0.0321,0.0455,343
2022-08-02,0.0076,0.0228,0.0241,0.0125,0.0376,0.0453,0.0304,0.0501,371
2022-09-21,0.0144,0.0133,0.0299,0.0107,0.0341,0.0507,0.0277,0.0448,421
2022-10-11,0.0078,0.0245,0.0278,0.0128,0.0420,0.0490,0.0323,0.0548,441
2022-11-08,0.0099,0.0168,0.0237,0.0080,0.0392,0.0471,0.0268,0.0471,469
2022-12-14,0.0084,0.0222,0.0211,0.0100,0.0342,0.0367,0.0306,0.0442,505
2023-01-10,0.0058,0.0202,0.0173,0.0129,0.0504,0.0422,0.0260,0.0633,532
2023-02-07,0.0116,0.0175,0.0210,0.0109,0.0455,0.0554,0.0291,0.0564,560
2023-03-07,0.0109,0.0255,0.0231,0.0096,0.0386,0.0343,0.0365,0.0482,588
2023-04-04,0.0026,0.0156,0.0182,0.0139,0.0504,0.0365,0.0182,0.0644,616
2023-05-02,0.0099,0.0225,0.0380,0.0081,0.0472,0.0449,0.0324,0.0553,644
2023-06-13,0.0162,0.0275,0.0187,0.0153,0.0514,0.0536,0.0437,0.0667,686
2023-07-04,0.0104,0.0326,0.0208,0.0111,0.0421,0.0520,0.0430,0.0532,707
2023-08-01,0.0089,0.0301,0.0279,0.0130,0.0490,0.0480,0.0390,0.0620,735
2023-08-29,0.0079,0.0191,0.0371,0.0112,0.0315,0.0814,0.0270,0.0427,763
2023-09-26,0.0083,0.0217,0.0392,0.0049,0.0315,0.0768,0.0299,0.0364,791
2023-10-24,0.0072,0.0123,0.0451,0.0037,0.0325,0.0585,0.0195,0.0362,819
2024-01-22,0.0046,0.0108,0.0154,0.0071,0.0125,0.0339,0.0154,0.0196,909
