date,male_id_female,male_id_trans,male_id_none,female_id_male,female_id_trans,female_id_none,date_numeric
2021-07-27,0.0054,0.0148,0.0223,0.0036,0.0179,0.0322,0
2021-08-10,0.0073,0.0112,0.0166,0.0056,0.0147,0.0268,14
2021-08-24,0.0059,0.0113,0.0152,0.0054,0.0179,0.0352,28
2021-09-07,0.0054,0.0093,0.0220,0.0061,0.0193,0.0300,42
2021-09-21,0.0038,0.0134,0.0134,0.0046,0.0211,0.0304,56
2021-10-05,0.0052,0.0086,0.0213,0.0086,0.0171,0.0302,70
2021-12-07,0.0029,0.0140,0.0140,0.0043,0.0165,0.0276,133
2022-01-04,0.0056,0.0143,0.0190,0.0036,0.0190,0.0266,161
2022-02-01,0.0059,0.0097,0.0169,0.0055,0.0227,0.0285,189
2022-03-08,0.0035,0.0126,0.0161,0.0044,0.0186,0.0300,224
2022-04-05,0.0061,0.0097,0.0254,0.0077,0.0247,0.0328,252
2022-05-03,0.0136,0.0175,0.0311,0.0094,0.0267,0.0309,280
2022-06-07,0.0036,0.0194,0.0206,0.0061,0.0304,0.0337,315
2022-07-05,0.0044,0.0218,0.0299,0.0050,0.0217,0.0379,343
2022-08-02,0.0075,0.0136,0.0226,0.0082,0.0281,0.0331,371
2022-09-21,0.0079,0.0144,0.0188,0.0071,0.0227,0.0394,421
2022-10-11,0.0065,0.0172,0.0241,0.0080,0.0357,0.0317,441
2022-11-08,0.0080,0.0153,0.0223,0.0060,0.0256,0.0329,469
2022-12-14,0.0061,0.0144,0.0177,0.0063,0.0225,0.0262,505
2023-01-10,0.0040,0.0138,0.0165,0.0070,0.0253,0.0272,532
2023-02-07,0.0059,0.0139,0.0154,0.0056,0.0267,0.0306,560
2023-03-07,0.0058,0.0175,0.0162,0.0055,0.0259,0.0323,588
2023-04-04,0.0049,0.0164,0.0217,0.0062,0.0340,0.0301,616
2023-05-02,0.0073,0.0115,0.0252,0.0066,0.0270,0.0263,644
2023-06-13,0.0118,0.0216,0.0167,0.0075,0.0321,0.0351,686
2023-07-04,0.0093,0.0190,0.0190,0.0062,0.0302,0.0347,707
2023-08-01,0.0064,0.0211,0.0204,0.0059,0.0307,0.0388,735
2023-08-29,0.0065,0.0119,0.0299,0.0077,0.0191,0.0559,763
2023-09-26,0.0052,0.0178,0.0352,0.0055,0.0210,0.0508,791
2023-10-24,0.0053,0.0120,0.0313,0.0029,0.0187,0.0462,819
2024-01-22,0.0026,0.0102,0.0107,0.0036,0.0104,0.0213,909
