date,male_id_female,male_id_trans,male_id_none,female_id_male,female_id_trans,female_id_none,female_white,female_trans_white,female_none_white,male_white,male_trans_white,male_none_white,male_with_symptoms,male_trans_with_symptoms,female_with_symptoms,female_trans_with_symptoms,date_numeric,female_id_none_smooth,female_id_trans_smooth,female_id_male_smooth,male_id_none_smooth,male_id_trans_smooth,male_id_female_smooth
2021-07-27,0.0028,0.0033,0.0112,0.0019,0.0028,0.0118,0.8114,0.7363,0.6893,0.8198,0.7389,0.6793,,,,,0,0.0111,0.0028,0.0021,0.0105,0.0031,0.0028
2021-08-10,0.0035,0.0037,0.0097,0.0022,0.0025,0.0104,0.8188,0.7958,0.6238,0.8281,0.7107,0.6866,,,,,14,0.0111,0.0028,0.0021,0.0104,0.0031,0.0028
2021-08-24,0.0026,0.0027,0.0095,0.0019,0.0031,0.0111,0.8219,0.7212,0.7462,0.8267,0.7959,0.6973,,,,,28,0.0111,0.0028,0.0021,0.0103,0.0031,0.0029
2021-09-07,0.0028,0.0027,0.0111,0.0021,0.0029,0.0108,0.8204,0.7249,0.6944,0.8275,0.7234,0.6561,,,,,42,0.0111,0.0029,0.0021,0.0102,0.0031,0.0029
2021-09-21,0.0026,0.0034,0.0098,0.0027,0.0033,0.0110,0.8140,0.7028,0.6896,0.8223,0.6939,0.6076,,,,,56,0.0111,0.0029,0.0021,0.0101,0.0031,0.0029
2021-10-05,0.0028,0.0026,0.0112,0.0022,0.0024,0.0115,0.8178,0.7303,0.6675,0.8290,0.7302,0.6578,,,,,70,0.0111,0.0030,0.0021,0.0100,0.0031,0.0028
2021-12-07,0.0030,0.0036,0.0088,0.0021,0.0034,0.0112,0.8200,0.7937,0.7268,0.8336,0.7341,0.6812,,,,,133,0.0112,0.0032,0.0021,0.0096,0.0032,0.0028
2022-01-04,0.0032,0.0032,0.0090,0.0018,0.0035,0.0111,0.8089,0.7650,0.6471,0.8220,0.7716,0.6982,,,,,161,0.0112,0.0032,0.0021,0.0095,0.0032,0.0028
2022-02-01,0.0029,0.0033,0.0088,0.0018,0.0037,0.0116,0.8135,0.7131,0.6737,0.8268,0.7872,0.7041,,,,,189,0.0112,0.0033,0.0021,0.0093,0.0033,0.0028
2022-03-08,0.0024,0.0030,0.0085,0.0017,0.0029,0.0107,0.8000,0.7304,0.6797,0.8143,0.6833,0.6806,,,,,224,0.0114,0.0034,0.0021,0.0094,0.0034,0.0029
2022-04-05,0.0027,0.0034,0.0098,0.0026,0.0033,0.0113,0.8190,0.7085,0.7249,0.8323,0.7673,0.6877,,,,,252,0.0115,0.0036,0.0021,0.0095,0.0034,0.0029
2022-05-03,0.0045,0.0036,0.0106,0.0025,0.0034,0.0109,0.8175,0.7430,0.6608,0.8352,0.7635,0.7079,,,,,280,0.0116,0.0037,0.0022,0.0096,0.0035,0.0029
2022-06-07,0.0029,0.0034,0.0088,0.0019,0.0040,0.0119,0.8152,0.7188,0.6756,0.8296,0.7547,0.7085,,,,,315,0.0117,0.0040,0.0022,0.0097,0.0036,0.0029
2022-07-05,0.0028,0.0036,0.0103,0.0020,0.0033,0.0128,0.8104,0.7337,0.6719,0.8292,0.7647,0.7202,,,,,343,0.0118,0.0041,0.0023,0.0098,0.0036,0.0029
