date,male_id_female,male_id_trans,male_id_none,female_id_male,female_id_trans,female_id_none,female_white,female_trans_white,female_none_white,female_college,female_trans_college,male_college,male_trans_college,male_white,male_trans_white,male_none_white,male_with_symptoms,male_trans_with_symptoms,female_with_symptoms,female_trans_with_symptoms,date_numeric,female_id_none_smooth,female_id_trans_smooth,female_id_male_smooth,male_id_none_smooth,male_id_trans_smooth,male_id_female_smooth
2021-07-27,0.0061,0.0235,0.0235,0.0056,0.0238,0.0381,0.7375,0.7297,0.8125,0.8184,0.7027,0.7671,0.6207,0.7651,0.8276,0.7391,,,,,0,0.0397,0.0226,0.0064,0.0197,0.0146,0.0056
2021-08-10,0.0070,0.0171,0.0130,0.0073,0.0218,0.0371,0.7416,0.8250,0.5882,0.8290,0.7500,0.7653,0.8333,0.7683,0.5833,0.6923,,,,,14,0.0395,0.0230,0.0065,0.0198,0.0148,0.0056
2021-08-24,0.0080,0.0129,0.0209,0.0083,0.0220,0.0440,0.7579,0.8409,0.7188,0.8308,0.6591,0.7734,0.7143,0.7584,0.7143,0.9524,,,,,28,0.0392,0.0234,0.0066,0.0200,0.0150,0.0056
2021-09-07,0.0059,0.0119,0.0287,0.0055,0.0243,0.0361,0.7268,0.7368,0.7174,0.8234,0.7105,0.7988,0.7222,0.7760,0.7778,0.7586,,,,,42,0.0390,0.0238,0.0067,0.0201,0.0152,0.0057
2021-09-21,0.0032,0.0139,0.0139,0.0057,0.0278,0.0426,0.7445,0.8293,0.7885,0.8092,0.7317,0.7983,0.6875,0.7609,0.6250,0.6154,,,,,56,0.0388,0.0243,0.0067,0.0203,0.0155,0.0057
2021-10-05,0.0034,0.0103,0.0252,0.0115,0.0256,0.0451,0.7747,0.8571,0.8235,0.8277,0.7381,0.7792,0.5000,0.7849,0.6667,0.8182,,,,,70,0.0386,0.0247,0.0068,0.0204,0.0157,0.0057
2021-12-07,0.0018,0.0192,0.0155,0.0053,0.0219,0.0312,0.7875,0.8049,0.8085,0.8320,0.7805,0.7984,0.8696,0.8230,0.9130,0.8235,,,,,133,0.0381,0.0268,0.0073,0.0216,0.0166,0.0060
2022-01-04,0.0077,0.0203,0.0222,0.0059,0.0241,0.0325,0.7653,0.8478,0.6800,0.8205,0.7826,0.7865,0.8276,0.7874,0.8276,0.8261,,,,,161,0.0378,0.0277,0.0074,0.0222,0.0171,0.0061
2022-02-01,0.0071,0.0173,0.0173,0.0089,0.0329,0.0336,0.7853,0.7541,0.8163,0.8080,0.8525,0.7670,0.7083,0.7864,0.7917,0.7647,,,,,189,0.0373,0.0287,0.0076,0.0228,0.0179,0.0062
2022-03-08,0.0040,0.0179,0.0169,0.0075,0.0248,0.0376,0.7682,0.7442,0.7800,0.8134,0.6512,0.7667,0.8182,0.7906,0.7273,0.7647,,,,,224,0.0378,0.0302,0.0079,0.0244,0.0188,0.0066
