,Feature,Importance
8,SEXUAL_ORIENTATION_2.0,0.8289
9,SEXUAL_ORIENTATION_4.0,-0.3562
11,THHLD_NUMKID,0.3005
17,WHENDOSES_3.0,0.2804
37,SELFCARE,-0.2272
13,THHLD_NUMADLT,-0.2205
36,REMEMBERING,-0.1925
38,UNDERSTAND,-0.1709
4,RRACE_1.0,0.1704
28,CURFOODSUF,0.1313
30,WORRY,0.1261
16,RECVDVACC,0.1232
14,TENROLLPUB,0.1176
5,RRACE_4.0,-0.1166
12,AHHLD_NUMKID,0.1122
19,WHENDOSES_1.0,-0.1061
42,HSE_TEMP,0.1040
6,EEDUC,0.0978
2,REGION_2.0,0.0949
18,WHENDOSES_2.0,-0.0888
10,THHLD_NUMPER,0.0800
39,TENURE_2.0,0.0800
20,HADCOVIDRV,-0.0753
1,REGION_4.0,-0.0714
15,TENROLLHMSCH,0.0626
35,HEARING,-0.0611
44,INCOME,0.0603
7,MS_5.0,-0.0601
33,HLTHINS2,0.0591
40,LIVQTRRV_2.0,0.0558
41,ENERGY,-0.0534
32,DOWN,-0.0480
45,PRICESTRESS_2.0,0.0359
29,ANXIOUS,0.0290
46,age,-0.0264
34,SEEING,0.0243
25,TWDAYS_1.0,-0.0193
21,LONGCOVID,0.0189
24,EXPNS_DIF_1.0,-0.0062
43,ENRGY_BILL,0.0058
23,SETTING_8.0,0.0051
22,SETTING_19.0,-0.0045
0,EST_ST,-0.0021
31,INTEREST,-0.0016
26,TSPNDFOOD,0.0002
3,HWEIGHT,0.0000
27,TSPNDPRPD,0.0000
