,Feature,Importance
8,SEXUAL_ORIENTATION_2.0,1.5599
9,SEXUAL_ORIENTATION_4.0,-0.7010
4,RRACE_4.0,-0.4587
16,WHENDOSES_3.0,0.3742
21,RSNNOWRKRV_9.0,-0.2528
14,TENROLLHMSCH,0.2446
17,WHENDOSES_2.0,0.2283
3,REGION_3.0,0.2242
37,SELFCARE,-0.2219
13,TENROLLPUB,0.2111
28,CHILDFOOD,0.1866
35,REMEMBERING,-0.1764
20,LONGCOVID,-0.1587
2,REGION_2.0,0.1543
19,HADCOVIDRV,-0.1253
7,MS_5.0,-0.1147
44,PRICESTRESS_2.0,0.1121
33,SEEING,0.1075
38,TENURE_2.0,0.1045
18,WHENDOSES_1.0,0.0885
1,REGION_4.0,-0.0875
12,THHLD_NUMADLT,-0.0825
24,EXPNS_DIF_3.0,0.0790
15,RECVDVACC,0.0735
30,WORRY,0.0703
11,THHLD_NUMKID,0.0679
23,EXPNS_DIF_1.0,0.0581
5,EEDUC,0.0549
29,ANXIOUS,-0.0407
43,INCOME,0.0361
32,DOWN,-0.0341
22,SETTING_19.0,-0.0316
41,HSE_TEMP,0.0299
42,ENRGY_BILL,0.0226
6,MS_1.0,0.0185
31,INTEREST,0.0162
39,TENURE_1.0,0.0157
10,THHLD_NUMPER,-0.0146
45,age,0.0146
40,ENERGY,-0.0141
34,HEARING,-0.0024
0,EST_ST,-0.0012
36,MOBILITY,-0.0005
25,TSPNDFOOD,0.0005
27,CURFOODSUF,-0.0004
26,TSPNDPRPD,-0.0001
